id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
928,Jinx (New Earth),Secret Identity,Bad Characters,Purple Eyes,Unknown or None,Living Characters,30,"1985, August",1985
929,Percival Clearweather (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,30,"1947, September",1947
930,Carl Ferris (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,30,"1959, October",1959
931,Hook (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,30,"1968, March",1968
932,Loren Jupiter (New Earth),Secret Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,30,"1970, February",1970
933,Manga Khan (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,30,"1988, June",1988
934,Whit (New Earth),Unknown,Good Characters,Unknown or None,White Hair,Living Characters,30,"1987, May",1987
935,Vashnu (New Earth),Unknown,Neutral Characters,Unknown or None,Unknown or None,Living Characters,30,"1967, October",1967
936,Noddy Toylan (New Earth),Unknown,Unknown or None,Unknown or None,Black Hair,Deceased Characters,30,"1942, June",1942
937,Winky Moylan (New Earth),Unknown,Unknown or None,Unknown or None,Brown Hair,Deceased Characters,30,"1942, June",1942
938,Blinky Boylan (New Earth),Unknown,Unknown or None,Unknown or None,Red Hair,Deceased Characters,30,"1942, June",1942
939,Amon Sur (New Earth),Public Identity,Unknown or None,White Eyes,Unknown or None,Deceased Characters,30,"2003, June",2003
940,Thaddeus Thawne II (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Blond Hair,Deceased Characters,30,"1999, July",1999
941,Heinrich Megala (New Earth),Public Identity,Good Characters,Black Eyes,Red Hair,Deceased Characters,29,"1987, March",1987
942,Amentep (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,29,"1940, February",1940
943,Medphyll (New Earth),Secret Identity,Unknown or None,Black Eyes,Unknown or None,Deceased Characters,29,"1962, March",1962
944,Nekron (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,29,"1981, June",1981
945,Marcus Aelius (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"1994, September",1994
946,Remoni-Notra (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,29,"1976, June",1976
947,Brian Durlin (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,29,"2003, August",2003
948,Natalia Knight (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,29,"1983, August",1983
949,Alberto Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
950,Bianca Reyes (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
951,Jamie Harper (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,29,"2006, May",2006
952,"Pedro, Ghost Patrol (New Earth)",Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,29,"1942, May",1942
953,Hacken (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,29,"1996, April",1996
954,Edmund Dorrance (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,29,"1991, January",1991
955,Angelo Bend (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,29,"2002, May",2002
956,Barbara Eileen Gordon (New Earth),Public Identity,Good Characters,Hazel Eyes,Red Hair,Living Characters,29,"1987, February",1987
957,Key (New Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Living Characters,29,"1965, December",1965
958,John Trujillo (New Earth),Secret Identity,Good Characters,Red Eyes,Black Hair,Living Characters,29,"2006, November",2006
959,Renata Takamori (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,29,"1988, October",1988
960,John Economos (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,29,"1987, May",1987
961,Lorna Hill (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,29,"1967, October",1967
962,Celia Windward (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,29,"1988, January",1988
963,Denise Howard (New Earth),Public Identity,Unknown or None,Unknown or None,Brown Hair,Living Characters,29,"1984, April",1984
964,Benjamin Krullen (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,29,"1988, July",1988
965,Gregorio de la Vega (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,29,"1988, January",1988
966,Joseph Carny (New Earth),Unknown,Bad Characters,Unknown or None,Unknown or None,Living Characters,29,"1982, June",1982
967,Clarice Winston (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,29,"1940, February",1940
968,Arnold Burnsteel (New Earth),Public Identity,Good Characters,White Eyes,Black Hair,Living Characters,29,"1994, November",1994
969,Romat-Ru (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,28,"2007, August",2007
970,Ghast (New Earth),Unknown,Bad Characters,Black Eyes,Black Hair,Living Characters,28,"1962, March",1962
971,Virman Vundabar (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1971, December",1971
972,Bonny Hoffman (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,28,"1997, May",1997
973,Lyrissa Mallor (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,28,"1989, February",1989
974,Zazzala (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,28,"1963, November",1963
975,Matthew Hagen (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,28,"1961, December",1961
976,Candace Jean Gennaro (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,28,"2002, February",2002
977,Hope Taya (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,28,"1999, December",1999
978,Salvatore Maroni (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,28,"1942, August",1942
979,Deborah Tiegel (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1994, March",1994
980,Star Hawkins (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1960, March",1960
981,Ravan (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,28,"1987, May",1987
982,Celia Forrestal (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"2002, February",2002
983,Gary Washington (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,28,"1985, December",1985
984,Steven Lombard (New Earth),Public Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,28,"1989, October",1989
985,Lagoon Boy (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,28,"1998, December",1998
986,Deimos (New Earth),Public Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,28,"1975, November",1975
987,Avery Carlton Sunderland (New Earth),Public Identity,Bad Characters,Unknown or None,White Hair,Deceased Characters,28,"1982, October",1982
988,Thorndyke Thompkins (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,28,"1940, November",1940
989,Dabney Donovan (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,28,"1990, June",1990
990,Cassius Payne (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,28,"1994, May",1994
991,"Slim, Ghost Patrol (New Earth)",Secret Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,28,"1942, May",1942
992,Bertron Diib (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Deceased Characters,28,"1991, August",1991
993,Hugh Hazzard (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,28,"1939, August",1939
994,Gehenna (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Deceased Characters,28,"2005, November",2005
995,Jack Jordan (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,28,"1961, December",1961
996,Robin Hood (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,28,"1938, January",1938
997,Susan Linden I (New Earth),Secret Identity,Good Characters,Violet Eyes,Violet Hair,Deceased Characters,28,"1973, August",1973
998,Torquemada (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Living Characters,28,"1993, March",1993
999,Mona Taylor (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,27,"1982, June",1982
1000,Roland (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,27,"1995, June",1995
1001,Drax (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,27,"1971, March",1971
1002,Theresa Collins (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,27,"1986, February",1986
1003,Epoch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,27,"1962, March",1962
1004,Martin van Wyck (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,27,"1999, March",1999
1005,Elizabeth Thorne (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,27,"1987, September",1987
1006,Carmen Leno (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,27,"1997, May",1997
1007,Rupert Thorne (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Living Characters,27,"1977, May",1977
1008,Lori Lemaris (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,27,"1987, December",1987
1009,Rose Lewis (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,27,"1990, June",1990
1010,Tong (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,27,"1938, June",1938
1011,Robert West (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,27,"1960, November",1960
1012,Michael Christian Amar (New Earth),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Living Characters,27,"2001, August",2001
1013,Geoffrey Barron (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,27,"1993, November",1993
1014,Karras (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Deceased Characters,27,"1985, July",1985
1015,Shlagen (New Earth),Public Identity,Unknown or None,Orange Eyes,Unknown or None,Living Characters,27,"1983, June",1983
1016,Robot F2324 (New Earth),Public Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,27,"1960, March",1960
1017,Lyssa Drak (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,27,"2007, May",2007
1018,Dark Opal (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Deceased Characters,27,"1983, April",1983
1019,Dirk Davis (New Earth),Public Identity,Bad Characters,Unknown or None,Red Hair,Living Characters,27,"1986, February",1986
1020,Glomulus (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,27,"2009, April",2009
1021,Sharon Scott (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,27,"1984, June",1984
1022,"Fred, Ghost Patrol (New Earth)",Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,27,"1942, May",1942
1023,William Clinton (New Earth),Public Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,27,"1993, February",1993
1024,Rebecca Carstairs (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,27,"2002, February",2002
1025,Tiny (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,27,"1967, October",1967
1026,Destiny (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,27,"1972, August",1972
1027,Florence Crawley (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Deceased Characters,27,"1987, May",1987
1028,Athena Tremor (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,27,"1966, June",1966
1029,David Lincoln (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,27,"1971, March",1971
1030,Flora Black (New Earth),Secret Identity,Neutral Characters,Violet Eyes,Violet Hair,Deceased Characters,27,"1988, December",1988
1031,Wotan (New Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Living Characters,26,"1940, May",1940
1032,"James Gordon, Jr. (New Earth)",Public Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,26,"1987, May",1987
1033,Susan Williams (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,26,"1961, December",1961
1034,Carl Andrew Bork (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,26,"1969, January",1969
1035,Pythia II (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,26,"1988, October",1988
1036,Silver St. Cloud (New Earth),Public Identity,Unknown or None,Blue Eyes,Silver Hair,Deceased Characters,26,"1977, June",1977
1037,Evil Star (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,26,"1965, June",1965
1038,Matthew Ryder (Armageddon 2001),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,26,"1991, May",1991
1039,Summer Day (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Deceased Characters,26,"1978, September",1978
1040,Dufus P. Ratchet (New Earth),Secret Identity,Unknown or None,Blue Eyes,Unknown or None,Deceased Characters,26,"1984, October",1984
1041,Weng Chan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1988, March",1988
1042,Lord Garnet (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1983, October",1983
1043,Kevin Franklin (Dakotaverse),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,26,"1993, June",1993
1044,Kahina Eskandari (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,26,"1994, January",1994
1045,Shyleen Lao (New Earth),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Deceased Characters,26,"2001, December",2001
1046,Mi-Sun Kwon (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,26,"2004, May",2004
1047,Isadora Wellington-Smythe (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,26,"1994, January",1994
1048,Lester Colt (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,26,"2006, July",2006
1049,Vesper Fairchild (New Earth),Public Identity,Good Characters,Green Eyes,Unknown or None,Deceased Characters,26,"1997, March",1997
1050,Sam Simeon (New Earth),Secret Identity,Good Characters,Hazel Eyes,Black Hair,Living Characters,26,"1968, September",1968
1051,Marco Polo (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,26,"1938, June",1938
1052,Richard Rawlins (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,26,"1961, May",1961
1053,Celia Penbrook (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,26,"1955, September",1955
1054,Lena Luthor II (New Earth),Public Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,26,"1998, January",1998
1055,William Pettit (New Earth),Public Identity,Neutral Characters,Unknown or None,White Hair,Deceased Characters,26,"1996, February",1996
1056,Hannibal Bates (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Deceased Characters,26,"2006, July",2006
1057,Thomas Rogers (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,26,"1942, January",1942
1058,Erik Storn (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,26,"2006, July",2006
1059,Weird (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,26,"1988, April",1988
1060,Myron Victor (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,26,"1966, June",1966
1061,Wonder Boy (Earth-X),Unknown,Unknown or None,Unknown or None,Black Hair,Living Characters,26,"1940, July",1940
1062,Mrs. McIlvaine (New Earth),Unknown,Unknown or None,Unknown or None,Grey Hair,Living Characters,26,"1993, February",1993
1063,Kryb (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,25,"2007, August",2007
1064,Xax (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Deceased Characters,25,"1961, December",1961
1065,Valda (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,25,"1981, November",1981
1066,Carl Nelligan (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,25,"1983, April",1983
1067,Eros (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,25,"1981, April",1981
1068,Nathaniel Tryon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,25,"1981, November",1981
1069,Grant Wilson (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,25,"1980, November",1980
1070,Christopher Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,25,"1942, December",1942
1071,Uno (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,25,"1996, August",1996
1072,Jarras Minion (New Earth),Secret Identity,Good Characters,Blue Eyes,Green Hair,Living Characters,25,"1994, September",1994
1073,Joseph Higgins (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,25,"2009, July",2009
1074,Firehair (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,25,"1969, September",1969
1075,Bonnie King (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,25,"1960, November",1960
1076,Wildstar (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"2009, May",2009
1077,Valcan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"1975, June",1975
1078,Alvin Rusch (New Earth),Public Identity,Neutral Characters,Brown Eyes,Unknown or None,Living Characters,25,"2004, July",2004
1079,Jerry McGee (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,25,"1987, October",1987
1080,Clyde Phillips (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,25,"1988, July",1988
1081,Eric Morden (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,25,"1964, March",1964
1082,Manitou Dawn (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"2003, January",2003
1083,Gavin King (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,25,"2001, October",2001
1084,Donald Fite (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,25,"1998, September",1998
1085,Thomas N. Thomas (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,25,"1942, April",1942
1086,Lady Turquoise (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,25,"1983, November",1983
1087,Helena Kyle (New Earth),Public Identity,Neutral Characters,Green Eyes,Brown Hair,Living Characters,25,"2006, May",2006
1088,Nash (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,25,"1994, October",1994
1089,Felicity (New Earth),Public Identity,Good Characters,Pink Eyes,White Hair,Deceased Characters,25,"1983, July",1983
1090,Baytor (New Earth),Public Identity,Unknown or None,Red Eyes,Unknown or None,Living Characters,25,"1994, January",1994
1091,Preston Payne (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,25,"1978, June",1978
1092,Damon Matthews (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,25,"2004, October",2004
1093,Sardonyx (New Earth),Public Identity,Neutral Characters,Unknown or None,Black Hair,Living Characters,25,"1983, April",1983
1094,Sidney Speck (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,25,"1996, December",1996
1095,Luke McKendrick (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,25,"1988, May",1988
1096,Victor Sommers (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,25,"1988, May",1988
1097,Princess Emerald III (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,25,"1983, December",1983
1098,Maria Verdugo (New Earth),Secret Identity,Good Characters,Unknown or None,Red Hair,Living Characters,25,"1988, May",1988
1099,Lucien (New Earth),Secret Identity,Neutral Characters,Unknown or None,Brown Hair,Living Characters,25,"1975, June",1975
1100,Penelope (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Living Characters,25,"1988, October",1988
1101,Herman Cramer (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,25,"1966, June",1966
1102,Carlo di Rienzi (New Earth),Unknown,Unknown or None,Unknown or None,Black Hair,Deceased Characters,25,"1968, May",1968
1103,Daniel Evans (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,24,"2002, May",2002
1104,Morro (New Earth),Unknown,Good Characters,Black Eyes,Unknown or None,Living Characters,24,"2006, July",2006
1105,Wayne Tarrant (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,24,"1984, June",1984
1106,Kreon (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,24,"1992, March",1992
1107,Nicholas Kovak (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,24,1993,1993
1108,Peter Cannon (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,24,"1992, September",1992
1109,Mark Mandrill (New Earth),Unknown,Bad Characters,Blue Eyes,White Hair,Living Characters,24,"1961, April",1961
1110,Anthony Zucco (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,24,"1940, April",1940
1111,Paul Westfield (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,24,"1991, August",1991
1112,Carmine Falcone (New Earth),Public Identity,Bad Characters,Brown Eyes,White Hair,Deceased Characters,24,"1987, February",1987
1113,James Forrest (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"2009, July",2009
1114,Wyynde (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"1982, April",1982
1115,Milagro Reyes (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,24,"2006, May",2006
1116,Franklin Berkowitz (New Earth),Public Identity,Unknown or None,Brown Eyes,Grey Hair,Deceased Characters,24,"1986, November",1986
1117,Fero (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,24,"1973, January",1973
1118,Martin Allard (New Earth),Unknown,Unknown or None,Brown Eyes,Brown Hair,Living Characters,24,"1987, March",1987
1119,Lambien (New Earth),Secret Identity,Neutral Characters,Gold Eyes,Gold Hair,Living Characters,24,"1981, June",1981
1120,Andrew Van Horn (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,24,"1993, October",1993
1121,Sarah Olsen (New Earth),Unknown,Unknown or None,Green Eyes,White Hair,Living Characters,24,"1988, March",1988
1122,Kilg%re (New Earth),Public Identity,Bad Characters,Photocellular Eyes,Unknown or None,Living Characters,24,"1987, August",1987
1123,Doctor Bedlam (New Earth),Secret Identity,Bad Characters,Photocellular Eyes,Unknown or None,Deceased Characters,24,"1971, June",1971
1124,Rebecca Jones (New Earth),Secret Identity,Bad Characters,Red Eyes,Blue Hair,Living Characters,24,"1984, March",1984
1125,Roderick Rose (New Earth),Secret Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,24,"1968, November",1968
1126,Ulysses Hadrian Armstrong (New Earth),Public Identity,Bad Characters,Unknown or None,Brown Hair,Living Characters,24,"1992, December",1992
1127,Philo Zeiss (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,24,"2000, October",2000
1128,Herbert Simms (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,24,"1942, January",1942
1129,Linda Olsen Ridge (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Deceased Characters,24,"1972, November",1972
1130,Krypto the Earth Dog (New Earth),Public Identity,Neutral Characters,Unknown or None,White Hair,Living Characters,24,"1993, June",1993
1131,Anthony Mantegna (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,24,"1988, May",1988
1132,Angela St. Grace (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,24,"2001, June",2001
1133,Lindsay Wah (New Earth),Secret Identity,Good Characters,Unknown or None,Purple Hair,Living Characters,24,"1996, September",1996
1134,Phillip Cobb (New Earth),Unknown,Bad Characters,Unknown or None,Brown Hair,Living Characters,24,"1957, December",1957
1135,Heatstroke (New Earth),Unknown,Bad Characters,Unknown or None,Red Hair,Living Characters,24,"1984, April",1984
1136,Coldsnap (New Earth),Unknown,Bad Characters,Unknown or None,White Hair,Living Characters,24,"1984, April",1984
1137,Alpheus Hyatt (New Earth),Unknown,Good Characters,Unknown or None,Unknown or None,Living Characters,24,"1962, November",1962
1138,Peter Robinson (New Earth),Unknown,Neutral Characters,Unknown or None,Black Hair,Living Characters,24,"2004, November",2004
1139,Joseph Monteleone (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,24,"2001, July",2001
1140,Freak (New Earth),Secret Identity,Good Characters,Amber Eyes,Black Hair,Living Characters,23,"2001, December",2001
1141,Karu-Sil (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,23,"2007, June",2007
1142,Ratchet (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Deceased Characters,23,"2008, December",2008
1143,Kirk DePaul (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,23,"2002, February",2002
1144,Mikhail Gorbachev (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,23,"1985, November",1985
1145,Lawrence Lance (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,23,"1948, February",1948
1146,Tannarak (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,23,"1970, December",1970
1147,Albert Michaels (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,23,"1978, May",1978
1148,David Drake (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,23,"1981, February",1981
1149,Holly Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,23,"2005, May",2005
1150,Zoanne Wilkins (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,23,"2006, July",2006
1151,Victor Darge (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"2001, December",2001
1152,Theodore Bruder (New Earth),Public Identity,Good Characters,Brown Eyes,Orange Hair,Living Characters,23,"2001, December",2001
1153,Guillermo Barrera (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,23,"1998, July",1998
1154,Aristides Demetrios (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,23,"1982, June",1982
1155,Stella Maxwell (Dakotaverse),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"1994, December",1994
1156,Ladonna Jameal (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,23,"1988, May",1988
1157,Richard Stanton (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Deceased Characters,23,"1940, May",1940
1158,Dummy (New Earth),Unknown,Bad Characters,Brown Eyes,Brown Hair,Living Characters,23,"1941, December",1941
